SEQUENCE_ID,SAMPLE_ID,POPULATION,TYPE,sample_id,Landrace_2,_latitude,_longitude,Unique_code,Sample_date
P1EN096.digested.trimmed.fq.gz,P1EN096,1,Domestic,164,Gare,8.586419262,37.94004416,88bf7688-387b-40d4-81f9-8ed498d9be1b,30/01/2018
P1EN097.digested.trimmed.fq.gz,P1EN097,1,Domestic,221,Bore,8.586349776,37.94010946,88bf7688-387b-40d4-81f9-8ed498d9be1b,30/01/2018
P1EN098.digested.trimmed.fq.gz,P1EN098,1,Domestic,78,Kekar,8.726524282,37.99397207,5627e880-7a35-424c-9ebb-c5f42449b381,24/01/2018
P1EN099.digested.trimmed.fq.gz,P1EN099,5,NA,NA,NA,NA,NA,NA,NA
P1EN100.digested.trimmed.fq.gz,P1EN100,2,Disease,404,Disease_Agade,8.539939597,38.09196146,7b797e81-b2c4-49ea-ae5c-0e208fef31ae,26/01/2018
P1EN101.digested.trimmed.fq.gz,P1EN101,2,Disease,405,Disease_Awugne,8.539925432,38.09199415,7b797e81-b2c4-49ea-ae5c-0e208fef31ae,26/01/2018
P1EN102.digested.trimmed.fq.gz,P1EN102,2,Disease,406,Disease_Awugne,8.539777156,38.09138353,7b797e81-b2c4-49ea-ae5c-0e208fef31ae,26/01/2018
P1EN103.digested.trimmed.fq.gz,P1EN103,5,NA,NA,NA,NA,NA,NA,NA
P1EN105.digested.trimmed.fq.gz,P1EN105,5,NA,NA,NA,NA,NA,NA,NA
P2S10ID586.digested.trimmed.fq.gz,P2S10ID586,1,Domestic,586,Derassiado,6.569658758,38.39582614,c6a978d6-22f6-4c89-95ec-a00c82830758,06/04/2018
P2S11ID386.digested.trimmed.fq.gz,P2S11ID386,1,Domestic,386,Birbo,6.746445443,38.44308682,f4b1067a-2766-44da-942d-ac09443c69eb,02/04/2018
P2S12ID339.digested.trimmed.fq.gz,P2S12ID339,1,Domestic,339,Birra,6.55894908,38.52763055,be9bedd9-a9b4-472f-814e-a2c59cb04896,23/03/2018
P2S13ID591.digested.trimmed.fq.gz,P2S13ID591,1,Domestic,591,Toracho,6.245676767,38.20912873,921afd43-45de-45a4-93a2-3815866f9cc3,05/04/2018
P2S14ID130.digested.trimmed.fq.gz,P2S14ID130,1,Domestic,130,Huwisho,6.939551771,38.52314249,a34f9526-5da3-4276-938a-95c1549ae45f,20/03/2018
P2S15ID621.digested.trimmed.fq.gz,P2S15ID621,1,Domestic,621,Arke,6.934471186,37.83723854,4cf5f922-498e-48d9-bd3d-8d30fe63ad02,09/04/2018
P2S16ID103.digested.trimmed.fq.gz,P2S16ID103,1,Domestic,103,Genna,6.938125942,38.52490226,6c091d28-b41b-4156-9b4d-f847f68e59de,20/03/2018
P2S17ID580.digested.trimmed.fq.gz,P2S17ID580,1,Domestic,580,Gulumo,6.589632695,38.40212708,3c39f269-2e78-4cc3-b162-e98d14da7100,06/04/2018
